idacr,yrend,gdppc,pop
AUT,1917,4122.0,6785.0
AUT,1918,4073.0,6727.0
AUT,1919,3601.0,6420.0
AUT,1920,3845.0,6455.0
AUT,1921,4224.0,6504.0
AUT,1922,4586.0,6528.0
AUT,1923,4530.0,6543.0
AUT,1924,5042.0,6562.0
AUT,1925,5367.0,6582.0
AUT,1926,5440.0,6603.0
AUT,1927,5587.0,6623.0
AUT,1928,5829.0,6643.0
AUT,1929,5896.0,6664.0
AUT,1930,5716.0,6684.0
AUT,1931,5241.0,6705.0
AUT,1932,4686.0,6725.0
AUT,1933,4516.0,6746.0
AUT,1934,4546.0,6760.0
AUT,1935,4634.0,6761.0
AUT,1936,4774.0,6758.0
AUT,1937,5031.0,6755.0
AUT,1938,5673.0,6753.0
AUT,1939,6529.0,6653.0
AUT,1940,6311.0,6705.0
AUT,1941,6722.0,6745.0
AUT,1942,6349.0,6783.0
AUT,1943,6480.0,6808.0
AUT,1944,6618.0,6834.0
AUT,1945,2750.0,6799.0
AUT,1946,3118.0,7000.0
AUT,1947,3453.0,6971.0
AUT,1948,4406.0,6956.0
AUT,1949,5249.0,6943.0
AUT,1950,5907.0,6935.1
AUT,1951,6311.0,6935.451
AUT,1952,6323.0,6927.772
AUT,1953,6594.0,6932.483
AUT,1954,7261.0,6940.209
AUT,1955,8054.0,6946.885
AUT,1956,8603.0,6952.359
AUT,1957,9111.0,6965.86
AUT,1958,9416.0,6987.358
AUT,1959,9645.0,7014.331
AUT,1960,10391.0,7047.437
AUT,1961,10882.0,7086.299
AUT,1962,11078.0,7129.864
AUT,1963,11454.0,7175.811
AUT,1964,12062.0,7223.801
AUT,1965,12328.0,7270.889
AUT,1966,12930.0,7322.066
AUT,1967,13225.0,7376.998
AUT,1968,13742.0,7415.403
AUT,1969,14555.0,7441.055
AUT,1970,15537.0,7467.086
AUT,1971,16259.0,7500.482
AUT,1972,17169.0,7544.201
AUT,1973,17908.0,7586.115
AUT,1974,18583.0,7599.038
AUT,1975,18564.0,7578.903
AUT,1976,19448.0,7565.525
AUT,1977,20350.0,7568.43
AUT,1978,20293.0,7562.305
AUT,1979,21436.0,7549.425
AUT,1980,21932.0,7549.433
AUT,1981,21866.0,7564.629
AUT,1982,22254.0,7574.613
AUT,1983,22944.0,7552.896
AUT,1984,23016.0,7554.132
AUT,1985,23514.0,7559.776
AUT,1986,24039.0,7568.242
AUT,1987,24409.0,7578.903
AUT,1988,25112.0,7599.791
AUT,1989,26078.0,7627.861
AUT,1990,26930.0,7722.953
AUT,1991,27689.7713,7800.446069
AUT,1992,28072.4403,7886.768704
AUT,1993,28101.2286,7952.073593
AUT,1994,28780.7604,7982.737675
AUT,1995,29621.6819,7994.969611
AUT,1996,30413.1567,8005.771193
AUT,1997,31173.0488,8014.848707
AUT,1998,32376.3295,8023.647594
AUT,1999,33608.2965,8039.273853
AUT,2000,34796.2595,8058.629392
AUT,2001,35272.224,8089.536895
AUT,2002,35823.5874,8129.433396
AUT,2003,36063.1205,8169.131739
